Key,English,中文,日本語
特别鸣谢备注,(The ranking is in no particular order. Thanks to everyone for supporting the LazyPan plugin!),（排名不分前后 感谢小伙伴们对 LazyPan 插件的支持！）,(ランキングは順不同です。LazyPan プラグインをサポートしてくださったお友達に感謝します!)
工具箱行为获取展开文本,展开点击获取行为（拉取后请收集行为配置）,展开点击获取行为（拉取后请收集行为配置）,展开点击获取行为（拉取后请收集行为配置）
工具箱模板获取展开文本,展开点击获取模板（注意：拉取后自动覆盖）,展开点击获取模板（注意：拉取后自动覆盖）,展开点击获取模板（注意：拉取后自动覆盖）
场景小标题,Scene The stage unit of the game,场景 游戏内的舞台单位,シーン ゲーム内のステージ単位
场景自动化工具展开文本,Automation Tool,自动化工具,自動化ツール
场景自动化工具按钮文本,Open scene configuration table Csv,打开场景配置表 Csv,シーン構成テーブル CSV を開く
场景预览场景配置数据展开文本,Preview scene configuration data,预览场景配置数据,シーン構成データのプレビュー
场景模糊搜索请输入关键字输入提示文本,Fuzzy search please enter keywords,模糊搜索请输入关键字,あいまい検索のキーワードを入力してください
场景预览标题标识,Sign:,标识:,ロゴ：
场景预览标题描述,Description:,描述:,説明：
场景预览标题物体路径,Dir Path:,物体路径:,オブジェクトパス：
场景预览标题流程,Flow:,流程:,プロセス：
场景预览标题加载时间,Delay Time:,加载时间:,ロード時間：
场景预览标题操作,Operate:,操作:,操作します:
场景操作操作文本,Operate,操作,操作します
场景操作打开场景文本,Open scene,打开场景,シーンを開く
场景操作创建场景文本,Create scene,创建场景,シーンを作成する
场景操作创建物体加载文件夹文本,Create obj folder,创建物体加载文件夹,オブジェクトフォルダを作成する
界面小标题,UI The interface of the game,界面 游戏内的交互界面,インターフェース ゲーム内の画面
UI自动化工具展开文本,Automation Tool,自动化工具,自動化ツール
UI自动化工具按钮文本,Open ui configuration table Csv,打开界面配置表 Csv,UI構成テーブル CSV を開く
UI预览界面配置数据展开文本,Preview ui configuration data,预览界面配置数据,UI構成データのプレビュー
UI模糊搜索请输入关键字输入提示文本,Fuzzy search please enter keywords,模糊搜索请输入关键字,あいまい検索のキーワードを入力してください
UI预览标题标识,Sign:,标识:,ロゴ：
UI预览标题描述,Description:,描述:,説明：
UI预览标题类型,Type:,类型:,タイプ：
UI预览标题渲染层级,Render Queue:,渲染层级:,レンダリング順：
UI预览标题操作,Operate:,操作:,操作します:
UI类型互斥选项,Exclusive (only one visible),互斥(同时只显示一个),排他（同時に一つだけ表示）
UI类型常驻选项,Always (multiple visible),常驻(可多个同时显示),常駐（複数同時表示可）
UI操作操作文本,Operate,操作,操作します
UI操作跳转到预制体,Jump to prefab,跳转到预制体,プレハブにジャンプ
UI操作创建预制体,Create prefab,创建预制体,プレハブを作成する
